title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
COT,Cotulla,-99.11849975585932,28.46199989318841,50,#ff0000,#000000,0
CQY,Cedar Creek,-96.2181015014648,32.18569946289059,50,#ff0000,#000000,0
CRE,Grand Strand,-78.7245025634765,33.81380081176751,50,#ff0000,#000000,0
CRG,Craig,-81.5099029541015,30.3388996124267,50,#ff0000,#000000,0
CRL,Creil,2.514780044555671,49.2552986145019,50,#ff0000,#000000,0
CRL,Carleton,-83.4576034545898,42.04809951782223,50,#ff0000,#000000,0
CRP,Corpus Christi,-97.4449005126953,27.90379905700683,50,#ff0000,#000000,0
CSG,Columbus,-85.0176010131836,32.61529922485353,50,#ff0000,#000000,0
CSI,Center Point,-99.2145004272461,29.9223003387451,50,#ff0000,#000000,0
CSN,Casanova,-77.8655014038086,38.64120101928712,50,#ff0000,#000000,0
CTB,Cut Bank,-112.343002319335,48.56489944457999,50,#ff0000,#000000,0
CTV,Cape Town,18.60499954223631,-33.96950149536129,50,#ff0000,#000000,0
CTY,Cross City,-83.0486984252929,29.59900093078611,50,#ff0000,#000000,0
CVA,Davenport,-90.4832992553711,41.70849990844722,50,#ff0000,#000000,0
CVC,Choshi,140.798995971679,35.72650146484369,50,#ff0000,#000000,0
CVG,Cincinnati,-84.70330047607422,39.015998840332,50,#ff0000,#000000,0
CVI,Cofield,-76.871597290039,36.3728981018066,50,#ff0000,#000000,0
CWK,Centex,-97.529800415039,30.37849998474122,50,#ff0000,#000000,0
CYN,Coyle,-74.43160247802732,39.81729888916008,50,#ff0000,#000000,0
CYS,Cheyenne,-104.773002624511,41.21099853515619,50,#ff0000,#000000,0
CZQ,Clovis,-119.815002441406,36.8843002319335,50,#ff0000,#000000,0
DAG,Daggett,-116.578002929687,34.96250152587889,50,#ff0000,#000000,0
DAS,Daisetta,-94.6449966430664,30.18969917297361,50,#ff0000,#000000,0
DBN,Dublin,-82.8331985473632,32.5606994628906,50,#ff0000,#000000,0
DBQ,Dubuque,-90.7090988159179,42.4015007019043,50,#ff0000,#000000,0
DBS,Dubois,-112.208999633789,44.08890151977529,50,#ff0000,#000000,0
DDC,Dodge City,-100.005996704101,37.85060119628899,50,#ff0000,#000000,0
DDY,Muddy Mountain,-106.277000427246,43.09090042114249,50,#ff0000,#000000,0
DGC,Fukuoka,130.389999389648,33.67620086669919,50,#ff0000,#000000,0
DGD,Dogwood,-92.87689971923821,37.02349853515618,50,#ff0000,#000000,0
DHA,Dhahran,50.14020156860351,26.26079940795888,50,#ff0000,#000000,0
DHP,Dolphin,-80.3489990234375,25.79999923706048,50,#ff0000,#000000,0
DHT,Dalhart,-102.544998168945,36.0914993286132,50,#ff0000,#000000,0
DIK,Dickinson,-102.774002075195,46.86000061035153,50,#ff0000,#000000,0
DKB,Dinkelsbuhl,10.23830032348629,49.1427993774414,50,#ff0000,#000000,0
DLF,Laughlin,-100.772003173828,29.36090087890621,50,#ff0000,#000000,0
DLH,Duluth,-92.2029037475586,46.80220031738281,50,#ff0000,#000000,0
DLL,Dells,-89.76360321044919,43.55089950561521,50,#ff0000,#000000,0
DMN,Deming,-107.605003356933,32.27560043334961,50,#ff0000,#000000,0
DNJ,Donnelly,-116.206001281738,44.76710128784178,50,#ff0000,#000000,0
DNV,Durban,30.95120048522943,-29.9722003936767,50,#ff0000,#000000,0
DNV,Danville,-87.5571975708007,40.29380035400389,50,#ff0000,#000000,0
DPR,Dupree,-101.71499633789,45.07809829711908,50,#ff0000,#000000,0
DQO,Dupont,-75.6071014404296,39.67810058593749,50,#ff0000,#000000,0
DRK,Drake,-112.480003356933,34.70259857177731,50,#ff0000,#000000,0
DSD,Deschutes,-121.304000854492,44.2527999877929,50,#ff0000,#000000,0
DSM,Des Moines,-93.64869689941402,41.43700027465822,50,#ff0000,#000000,0
DTA,Delta,-112.505996704101,39.30229949951168,50,#ff0000,#000000,0
DUG,Douglas,-109.601997375488,31.4727001190185,50,#ff0000,#000000,0
DVC,Dove Creek,-108.930999755859,37.80879974365227,50,#ff0000,#000000,0
DVV,Mile High,-104.624000549316,39.89469909667959,50,#ff0000,#000000,0
DWN,Darwin,-94.4537963867187,45.08750152587892,50,#ff0000,#000000,0
DYR,Dyersburg,-89.31759643554682,36.0186004638671,50,#ff0000,#000000,0
EAU,Eau Claire,-91.4785003662109,44.89770126342769,50,#ff0000,#000000,0
ECA,Manteca,-121.170997619628,37.83359909057612,50,#ff0000,#000000,0
ECB,Newcombe,-82.9101028442382,38.15840148925782,50,#ff0000,#000000,0
ECK,Peck,-82.717903137207,43.2559013366699,50,#ff0000,#000000,0
EDW,Edwards,-117.733001708984,34.98239898681642,50,#ff0000,#000000,0
EED,Needles,-114.473999023437,34.76599884033202,50,#ff0000,#000000,0
EEN,Keene,-72.2918014526367,42.79430007934571,50,#ff0000,#000000,0
EHF,Shafter,-119.09700012207,35.48460006713863,50,#ff0000,#000000,0
EIC,Belcher,-93.80989837646479,32.77140045166009,50,#ff0000,#000000,0
EKN,Elkins,-80.0992965698242,38.9143981933593,50,#ff0000,#000000,0
ELB,Elba,10.39570045471191,42.73070144653322,50,#ff0000,#000000,0
ELD,El Dorado,-92.743896484375,33.25619888305658,50,#ff0000,#000000,0
ELN,Ellensburg,-120.458000183105,47.02429962158202,50,#ff0000,#000000,0
ELP,El Paso,-106.281997680664,31.8159008026123,50,#ff0000,#000000,0
ELV,East London,27.8229999542236,-33.0369987487793,50,#ff0000,#000000,0
ELW,Electric City,-82.78469848632811,34.41920089721681,50,#ff0000,#000000,0
